Date : 2022-03-24 13:44:22
Directory : e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app
Total : 100 files,  14236 codes, 81 comments, 312 blanks, all 14629 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\loading.interceptor.ts                                           | TypeScript |         25 |          0 |          3 |         28 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\employer.ts                                                            | TypeScript |         12 |          0 |          1 |         13 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\experience.ts                                                          | TypeScript |          9 |          0 |          2 |         11 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\job-seeker.ts                                                          | TypeScript |         17 |          0 |          2 |         19 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\pagination.ts                                                          | TypeScript |         10 |          0 |          1 |         11 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\qualification.ts                                                       | TypeScript |          7 |          0 |          1 |          8 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\role.ts                                                                | TypeScript |          4 |          0 |          1 |          5 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\user.ts                                                                | TypeScript |          4 |          0 |          0 |          4 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\vacancy-request.ts                                                     | TypeScript |          3 |          0 |          0 |          3 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\vacancy.ts                                                             | TypeScript |         21 |          0 |          2 |         23 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_modules\shared.module.ts                                                      | TypeScript |         33 |          0 |          2 |         35 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\Data\empppy.json                                                         | JSON       |      5,193 |          0 |          1 |      5,194 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\Data\jsData.json                                                         | JSON       |      5,113 |          0 |          1 |      5,114 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\seeder\seeder.component.css                                              | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\seeder\seeder.component.html                                             | HTML       |          1 |          0 |          1 |          2 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\seeder\seeder.component.ts                                               | TypeScript |         72 |          9 |          5 |         86 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\account.service.ts                                                   | TypeScript |         61 |          0 |          6 |         67 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\busy.service.ts                                                      | TypeScript |         20 |          0 |          4 |         24 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\employer.service.ts                                                  | TypeScript |        113 |          5 |          5 |        123 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\job-seeker.service.ts                                                | TypeScript |        122 |          0 |          5 |        127 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\vacancy.service.ts                                                   | TypeScript |         85 |          2 |          5 |         92 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_theming\flatlytheme.bootstrap.min.css                                         | PostCSS    |          2 |         10 |          0 |         12 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_theming\litera.bootstrap.min.css                                              | PostCSS    |          2 |         10 |          0 |         12 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app-routing.module.ts                                                          | TypeScript |         96 |          1 |          7 |        104 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.css                                                              | PostCSS    |          0 |          3 |          1 |          4 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.html                                                             | HTML       |          3 |          1 |          1 |          5 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.spec.ts                                                          | TypeScript |         31 |          0 |          5 |         36 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.ts                                                               | TypeScript |         29 |          0 |          6 |         35 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.module.ts                                                                  | TypeScript |         81 |          2 |          3 |         86 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.css             | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.html            | HTML       |        153 |          0 |          1 |        154 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.ts              | TypeScript |         82 |          0 |          6 |         88 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.css                       | PostCSS    |         33 |          0 |          7 |         40 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.html                      | HTML       |         36 |          5 |          1 |         42 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.ts                        | TypeScript |         31 |          0 |          4 |         35 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-create\employer-vacancy-create.component.css         | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-create\employer-vacancy-create.component.html        | HTML       |        194 |          0 |          2 |        196 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-create\employer-vacancy-create.component.ts          | TypeScript |         63 |          1 |          5 |         69 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.css             | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.html            | HTML       |        195 |          0 |          2 |        197 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.ts              | TypeScript |         91 |          2 |          7 |        100 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.css             | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.html            | HTML       |         51 |          0 |          1 |         52 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.ts              | TypeScript |         59 |          0 |          7 |         66 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.css   | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.html  | HTML       |         24 |          0 |          2 |         26 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.ts    | TypeScript |         47 |          1 |          3 |         51 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.css              | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.html             | HTML       |         33 |          0 |          1 |         34 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.ts               | TypeScript |         74 |          1 |         10 |         85 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.css              | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.html             | HTML       |        132 |          4 |          6 |        142 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.ts               | TypeScript |         89 |          1 |          8 |         98 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.css        | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.html       | HTML       |         94 |          1 |          3 |         98 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.ts         | TypeScript |         59 |          0 |          6 |         65 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.css                        | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.html                       | HTML       |        154 |          0 |          1 |        155 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.ts                         | TypeScript |        103 |          2 |          7 |        112 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.css        | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.html       | HTML       |         24 |          0 |          1 |         25 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.ts         | TypeScript |         13 |          0 |          5 |         18 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.css              | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.html             | HTML       |         36 |          0 |          3 |         39 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.ts               | TypeScript |         12 |          0 |          3 |         15 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.css  | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.html | HTML       |         18 |          0 |          1 |         19 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.ts   | TypeScript |         13 |          0 |          5 |         18 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.css                                  | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.html                                 | HTML       |         61 |          1 |          5 |         67 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.ts                                   | TypeScript |         49 |          0 |          5 |         54 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.css                                | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.html                               | HTML       |         56 |          0 |          2 |         58 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.spec.ts                            | TypeScript |         20 |          0 |          6 |         26 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.ts                                 | TypeScript |         12 |          0 |          5 |         17 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.css                              | PostCSS    |          3 |          0 |          0 |          3 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.html                             | HTML       |         40 |          1 |          6 |         47 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.spec.ts                          | TypeScript |         20 |          0 |          6 |         26 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.ts                               | TypeScript |         41 |          0 |          6 |         47 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.css                            | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.html                           | HTML       |        110 |          1 |          3 |        114 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.spec.ts                        | TypeScript |         20 |          0 |          6 |         26 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.ts                             | TypeScript |         30 |          0 |          6 |         36 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.css                        | PostCSS    |          3 |          0 |          0 |          3 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.html                       | HTML       |        100 |          3 |          5 |        108 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.spec.ts                    | TypeScript |         20 |          0 |          6 |         26 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.ts                         | TypeScript |         53 |          0 |          7 |         60 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.css                                    | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.html                                   | HTML       |         15 |          0 |          2 |         17 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.ts                                     | TypeScript |         11 |          0 |          5 |         16 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.css                    | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.html                   | HTML       |         40 |          0 |          2 |         42 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.ts                     | TypeScript |         13 |          0 |          5 |         18 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.css                              | PostCSS    |          0 |          0 |          1 |          1 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.html                             | HTML       |        156 |          3 |          6 |        165 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.ts                               | TypeScript |        145 |          1 |         10 |        156 |
| Total                                                                                                                                         |            |     14,236 |         81 |        312 |     14,629 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
